===============================================================================
Id,EUR_USD,len,datetime,open,high,low,close,volume,openinterest,GBP_USD,len,datetime,open,high,low,close,volume,openinterest,St,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,EUR_USD,GBP_USD
71,EUR_USD,71,2019-04-09 21:00:00,1.12737,1.12876,1.12627,1.12298,,-1.0,GBP_USD,71,2019-04-09 21:00:00,1.30897,1.31202,1.3052,1.30451,,-1.0,St,71,737158.875,Broker,71,292.46000000000004,110.93000000000006,BuySell,71,1.10937595,,BuySell,71,,,DataTrades,71,3.91000000000008,
72,EUR_USD,72,2019-04-10 21:00:00,1.12541,1.12874,1.12734,1.125,,-1.0,GBP_USD,72,2019-04-10 21:00:00,1.3055,1.31089,1.3095,1.30504,,-1.0,St,72,737159.875,Broker,72,292.46000000000004,112.42000000000007,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,EUR_USD,73,2019-04-11 21:00:00,1.12988,1.13239,1.12536,1.12536,,-1.0,GBP_USD,73,2019-04-11 21:00:00,1.30728,1.31328,1.30575,1.30506,,-1.0,St,73,737160.875,Broker,73,292.46000000000004,112.75999999999976,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,EUR_USD,74,2019-04-14 21:00:00,1.13044,1.1321,1.13046,1.12976,,-1.0,GBP_USD,74,2019-04-14 21:00:00,1.30997,1.31192,1.30807,1.3071,,-1.0,St,74,737163.875,Broker,74,292.46000000000004,115.12000000000012,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,EUR_USD,75,2019-04-15 21:00:00,1.12808,1.1314,1.13042,1.12796,,-1.0,GBP_USD,75,2019-04-15 21:00:00,1.30482,1.31015,1.30997,1.30428,,-1.0,St,75,737164.875,Broker,75,292.46000000000004,116.13999999999987,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,EUR_USD,76,2019-04-16 21:00:00,1.1298,1.13237,1.12828,1.12788,,-1.0,GBP_USD,76,2019-04-16 21:00:00,1.30411,1.30673,1.30499,1.3029,,-1.0,St,76,737165.875,Broker,76,292.46000000000004,117.44000000000005,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,EUR_USD,77,2019-04-17 21:00:00,1.12306,1.13042,1.12962,1.12263,,-1.0,GBP_USD,77,2019-04-17 21:00:00,1.29874,1.30527,1.3042,1.29792,,-1.0,St,77,737166.875,Broker,77,292.46000000000004,117.17000000000007,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,EUR_USD,78,2019-04-18 21:00:00,1.12452,1.12477,1.1231,1.1229,,-1.0,GBP_USD,78,2019-04-18 21:00:00,1.29932,1.301,1.29892,1.29838,,-1.0,St,78,737167.875,Broker,78,2541.5,120.2199999999998,BuySell,78,,1.14164155,BuySell,78,,,DataTrades,78,-2.850000000000019,
79,EUR_USD,78,2019-04-18 21:00:00,1.12452,1.12477,1.1231,1.1229,,-1.0,GBP_USD,79,2019-04-19 21:00:00,1.2996,1.29968,1.29942,1.29942,,-1.0,St,79,737168.875,Broker,79,2541.5,119.17999999999984,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,EUR_USD,79,2019-04-21 21:00:00,1.12572,1.1262,1.12447,1.1236,,-1.0,GBP_USD,80,2019-04-21 21:00:00,1.29807,1.2999,1.29958,1.29756,,-1.0,St,80,737170.875,Broker,80,2541.5,120.34000000000015,BuySell,80,,,BuySell,80,,,DataTrades,80,,
