date,close,high,low,n,open,t,volume,vw,symbol,instrument_type
3/16/2020,60.5525,64.77,60,826388,60.4875,1.58E+12,322423460,62.6169,AAPL,Equity
3/17/2020,63.215,64.4025,59.6,825893,61.8775,1.58E+12,323855860,62.4835,AAPL,Equity
3/18/2020,61.6675,62.5,59.28,757704,59.9425,1.58E+12,300233624,60.792,AAPL,Equity
3/19/2020,61.195,63.21,60.6525,662842,61.8463,1.58E+12,271857020,61.9001,AAPL,Equity
3/20/2020,57.31,62.9575,57,862652,61.795,1.58E+12,401693384,60.2126,AAPL,Equity
3/23/2020,56.0925,57.1249,53.1525,838611,57.02,1.58E+12,336752832,55.3518,AAPL,Equity
3/24/2020,61.72,61.9225,58.575,692491,59.09,1.59E+12,287531092,60.3309,AAPL,Equity
3/25/2020,61.38,64.5625,61.075,755720,62.6875,1.59E+12,303602040,62.931,AAPL,Equity
3/26/2020,64.61,64.67,61.59,584615,61.63,1.59E+12,252560596,63.194,AAPL,Equity
3/27/2020,61.935,63.9675,61.7625,490477,63.1875,1.59E+12,204216612,62.7031,AAPL,Equity
3/30/2020,63.7025,63.88,62.35,371745,62.685,1.59E+12,167976440,63.1713,AAPL,Equity
3/31/2020,63.5725,65.6225,63,405381,63.9,1.59E+12,197002004,64.1079,AAPL,Equity
4/1/2020,60.2275,62.18,59.7825,460605,61.625,1.59E+12,176046552,60.9782,AAPL,Equity
4/2/2020,61.2325,61.2875,59.225,380294,60.085,1.59E+12,165933972,60.3945,AAPL,Equity
4/3/2020,60.3525,61.425,59.7435,293699,60.7,1.59E+12,129880068,60.4515,AAPL,Equity
4/6/2020,65.6175,65.7775,62.345,486681,62.725,1.59E+12,201820284,64.0392,AAPL,Equity
4/7/2020,64.8575,67.925,64.75,467375,67.7,1.59E+12,202887324,66.1413,AAPL,Equity
4/8/2020,66.5175,66.8425,65.3075,391246,65.685,1.59E+12,168895284,66.1893,AAPL,Equity
4/9/2020,66.9975,67.5175,66.175,415870,67.175,1.59E+12,162116492,66.8074,AAPL,Equity
4/13/2020,68.3125,68.425,66.4575,343829,67.0775,1.59E+12,131022924,67.3614,AAPL,Equity
4/14/2020,71.7625,72.0625,69.5125,476983,70,1.59E+12,194994688,71.2864,AAPL,Equity
4/15/2020,71.1075,71.5825,70.1575,312185,70.6,1.59E+12,131154564,70.9263,AAPL,Equity
4/16/2020,71.6725,72.0494,70.5875,377056,71.845,1.59E+12,157125160,71.4464,AAPL,Equity
4/17/2020,70.7,71.7363,69.215,571192,71.1725,1.59E+12,215249912,70.404,AAPL,Equity
4/20/2020,69.2325,70.42,69.2125,357160,69.4875,1.59E+12,130015000,69.753,AAPL,Equity
4/21/2020,67.0925,69.3125,66.3575,530768,69.07,1.59E+12,180991572,67.4343,AAPL,Equity
4/22/2020,69.025,69.475,68.05,287131,68.4025,1.59E+12,117055368,68.7543,AAPL,Equity
4/23/2020,68.7575,70.4375,68.7175,318296,68.9675,1.59E+12,124801712,69.4705,AAPL,Equity
4/24/2020,70.7425,70.7525,69.25,306176,69.3,1.59E+12,126508732,70.0964,AAPL,Equity
4/27/2020,70.7925,71.135,69.9875,300771,70.45,1.59E+12,117087572,70.5883,AAPL,Equity
4/28/2020,69.645,71.4575,69.55,285384,71.27,1.59E+12,112004748,70.406,AAPL,Equity
4/29/2020,71.9325,72.4175,70.9725,324890,71.1825,1.59E+12,137280816,71.8512,AAPL,Equity
4/30/2020,73.45,73.6325,72.0875,471129,72.49,1.59E+12,183063872,72.9189,AAPL,Equity
5/1/2020,72.2675,74.75,71.4625,558318,71.5625,1.59E+12,240616692,73.1481,AAPL,Equity
5/4/2020,73.29,73.4225,71.5793,320744,72.2925,1.59E+12,133446864,72.6385,AAPL,Equity
5/5/2020,74.39,75.25,73.615,361220,73.765,1.59E+12,147751180,74.6384,AAPL,Equity
5/6/2020,75.1575,75.81,74.7175,327327,75.115,1.59E+12,142333256,75.4385,AAPL,Equity
5/7/2020,75.935,76.2925,75.4925,273196,75.805,1.59E+12,115215056,75.9291,AAPL,Equity
5/8/2020,77.5325,77.5875,76.0725,318777,76.41,1.59E+12,134047940,76.9476,AAPL,Equity
5/11/2020,78.7525,79.2625,76.81,336670,77.025,1.59E+12,145945400,78.2535,AAPL,Equity
5/12/2020,77.8525,79.922,77.7275,372891,79.4575,1.59E+12,162100936,79.0703,AAPL,Equity
5/13/2020,76.9125,78.9875,75.8025,489388,78.0375,1.59E+12,200622556,77.2421,AAPL,Equity
5/14/2020,77.385,77.4475,75.3825,370233,76.1275,1.59E+12,158600728,76.401,AAPL,Equity
5/15/2020,76.9275,76.975,75.0525,385764,75.0875,1.59E+12,165283688,76.2066,AAPL,Equity
5/18/2020,78.74,79.125,77.581,315508,78.2925,1.59E+12,135369872,78.524,AAPL,Equity
5/19/2020,78.285,79.63,78.2525,253423,78.7575,1.59E+12,101729540,79.087,AAPL,Equity
5/20/2020,79.8075,79.88,79.05,263855,79.17,1.59E+12,111504860,79.6228,AAPL,Equity
5/21/2020,79.2125,80.2225,78.9675,250904,79.665,1.59E+12,102688844,79.5353,AAPL,Equity
5/22/2020,79.7225,79.8075,78.8375,205849,78.9425,1.59E+12,81803016,79.3895,AAPL,Equity
5/26/2020,79.1825,81.06,79.125,309826,80.875,1.59E+12,125519176,79.8905,AAPL,Equity
5/27/2020,79.5275,79.6775,78.2725,279261,79.035,1.59E+12,112941436,79.0398,AAPL,Equity
5/28/2020,79.5625,80.86,78.9075,320359,79.1925,1.59E+12,133795408,80.0894,AAPL,Equity
5/29/2020,79.485,80.2875,79.1175,307848,79.8125,1.59E+12,153598128,79.6771,AAPL,Equity
6/1/2020,80.4625,80.5875,79.3025,231707,79.4375,1.59E+12,81000752,80.2125,AAPL,Equity
6/2/2020,80.835,80.86,79.7325,226248,80.1863,1.59E+12,87642632,80.3801,AAPL,Equity
6/3/2020,81.28,81.55,80.575,258867,81.165,1.59E+12,104490584,81.084,AAPL,Equity
6/4/2020,80.58,81.405,80.195,237171,81.0975,1.59E+12,87560364,80.8328,AAPL,Equity
6/5/2020,82.875,82.9375,80.8075,351615,80.8375,1.59E+12,137248048,82.2786,AAPL,Equity
6/8/2020,83.365,83.4,81.83,261203,82.5625,1.59E+12,95650900,82.7662,AAPL,Equity
6/9/2020,85.9975,86.4025,83.0025,402768,83.035,1.59E+12,147712228,85.3634,AAPL,Equity
6/10/2020,88.21,88.6925,86.5225,449782,86.975,1.59E+12,166646980,87.8736,AAPL,Equity
6/11/2020,83.975,87.765,83.87,577299,87.3275,1.59E+12,201659684,85.7741,AAPL,Equity
6/12/2020,84.7,86.95,83.5558,514308,86.18,1.59E+12,200145124,85.0132,AAPL,Equity
6/15/2020,85.7475,86.42,83.145,368615,83.3125,1.59E+12,138808720,84.8782,AAPL,Equity
6/16/2020,88.02,88.3,86.18,446656,87.865,1.59E+12,165428728,87.7181,AAPL,Equity
6/17/2020,87.8975,88.85,87.7725,321829,88.7875,1.59E+12,114388504,88.4283,AAPL,Equity
6/18/2020,87.9325,88.3625,87.305,274412,87.8525,1.59E+12,96820384,87.8912,AAPL,Equity
6/19/2020,87.43,89.14,86.2875,521900,88.6588,1.59E+12,264475808,87.6158,AAPL,Equity
6/22/2020,89.7175,89.865,87.7875,365763,87.835,1.59E+12,135445064,89.1444,AAPL,Equity
6/23/2020,91.6325,93.095,90.5675,540691,91,1.59E+12,212155476,91.9246,AAPL,Equity
6/24/2020,90.015,92.1975,89.63,520696,91.25,1.59E+12,192623396,90.5741,AAPL,Equity
6/25/2020,91.21,91.25,89.3925,364768,90.175,1.59E+12,137522512,90.4714,AAPL,Equity
6/26/2020,88.4075,91.33,88.255,478043,91.1025,1.59E+12,205256844,89.3208,AAPL,Equity
6/29/2020,90.445,90.5434,87.82,345350,88.3125,1.59E+12,130646076,89.6679,AAPL,Equity
6/30/2020,91.2,91.495,90,332668,90.02,1.59E+12,140217996,90.9687,AAPL,Equity
7/1/2020,91.0275,91.84,90.9775,317158,91.28,1.59E+12,110737236,91.4261,AAPL,Equity
7/2/2020,91.0275,92.6175,90.91,304461,91.9625,1.59E+12,114041468,91.761,AAPL,Equity
7/6/2020,93.4625,93.945,92.4675,335176,92.5,1.59E+12,118655652,93.3518,AAPL,Equity
7/7/2020,93.1725,94.655,93.0575,312176,93.8525,1.59E+12,112419852,93.9268,AAPL,Equity
7/8/2020,95.3425,95.375,94.09,328566,94.18,1.59E+12,117091880,94.885,AAPL,Equity
7/9/2020,95.6825,96.3175,94.6725,381750,96.2625,1.59E+12,125632928,95.6154,AAPL,Equity
7/10/2020,95.92,95.98,94.7052,278154,95.335,1.59E+12,90257320,95.4535,AAPL,Equity
7/13/2020,95.4775,99.955,95.2575,582519,97.265,1.59E+12,191649140,97.9313,AAPL,Equity
7/14/2020,97.0575,97.255,93.8775,475794,94.84,1.59E+12,170984564,95.8252,AAPL,Equity
7/15/2020,97.725,99.2475,96.49,437741,98.99,1.59E+12,153175132,97.7985,AAPL,Equity
7/16/2020,96.5225,97.405,95.905,345189,96.5625,1.59E+12,110572372,96.468,AAPL,Equity
7/17/2020,96.3275,97.1475,95.84,257101,96.9875,1.59E+12,92164500,96.4832,AAPL,Equity
7/20/2020,98.3575,98.5,96.0625,281653,96.4163,1.60E+12,90317908,97.4448,AAPL,Equity
7/21/2020,97,99.25,96.7425,328226,99.1725,1.60E+12,103644436,97.8163,AAPL,Equity
7/22/2020,97.2725,97.975,96.6025,255648,96.6925,1.60E+12,88994732,97.1692,AAPL,Equity
7/23/2020,92.845,97.0775,92.0098,685256,96.9984,1.60E+12,197003632,94.0126,AAPL,Equity
7/24/2020,92.615,92.97,89.145,563053,90.9875,1.60E+12,185433708,91.6042,AAPL,Equity
